3,"TEODOR VIANU","1000","student@email.com"
3,"Tavian Minea","1001","tminea@email.com"
3,"Sanda Mircea","1002","smircea@email.com"
3,"Veaceslav Rusu","1003","vrusu@email.com"
3,"Ilie Ciumak","1004","iciumak@email.com"
3,"Manuel Olinescu","1005","molinescu@email.com"
3,"Denis Dimir","1006","ddmir@email.com"
3,"Corneliu Artenie","1007","cartenie@email.com"
3,"Anatolie Constantin","1008","aconstatin@email.com"
3,"Jan Banica","1009","jbanica@email.com"
3,"Iosif Poenaru","1010","ipoenaru@email.com"
3,"Mihai Istrati","1011","mistrati@email.com"
3,"Corneliu Artenie","1012","cartenie@email.com"
3,"Simion Manea","1013","smanea@email.com"
3,"Draguta Cojocar","1014","dcojocar@email.com"
3,"Corinna Stan","1015","cstan@email.com"
